URL;Total_likes;Tweet_max_likes;Tweet_min_likes;Total_retweets;Tweet_max_retweets;Tweet_min_retweets;Total_tweets_mateixa_URL
http://diaridesabadell.com/2021/04/08/aterra-a-sabadell-el-circ-raluy-la-vacuna-contra-el-pessimisme/;4;4;4;0;0;0;1
https://www.diaridesabadell.com/2021/03/30/maxim-docupacions-illegals-de-lultima-decada-a-sabadell/;0;0;0;4;4;4;1
https://www.diaridesabadell.com/2021/03/31/alberg-temporal-sensellar-sabadell/;0;0;0;1;1;0;2
https://www.diaridesabadell.com/2021/03/31/el-dijous-arriba-algun-nuvol-a-sabadell/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/03/31/els-professors-de-lescola-de-musica-de-barbera-denuncien-inseguretat-laboral/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/03/31/lavantguarda-es-medica-i-cientifica/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/03/31/mes-vorera-a-la-carretera-de-barcelona/;9;7;0;1;1;0;3
https://www.diaridesabadell.com/2021/03/31/obituari-de-sabadell-de-l1-dabril-de-2021/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/01/a-lhospital-un-jove-de-24-anys-despres-dun-incendi-a-casa-seva/;1;1;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/01/detingut-un-home-per-intentar-colar-receptes-falsificades-en-una-farmacia/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/01/el-personatge-la-mascareta-i-la-platja-son-incompatibles/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/04/01/el-postureig-a-dalt-la-mola-fa-enrabiar-els-bombers/;30;16;6;16;9;3;3
https://www.diaridesabadell.com/2021/04/01/el-sabadell-recupera-la-millor-versio-de-stoichkov/;4;4;4;0;0;0;1
https://www.diaridesabadell.com/2021/04/01/judici-violacio-multiple-sabadell/;9;9;0;3;2;0;3
https://www.diaridesabadell.com/2021/04/01/la-generalitat-licita-el-projecte-duna-rotonda-a-la-b-140-entre-sabadell-i-barbera/;1;1;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/01/obituari-de-sabadell-del-2-dabril-de-2021/;0;0;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/01/ocupacions-conflictives/;10;10;10;9;9;9;1
https://www.diaridesabadell.com/2021/04/01/ous-per-pasqua-sabadell/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/01/seu-asvall-gran-via-sabadell/;6;3;3;1;1;0;2
https://www.diaridesabadell.com/2021/04/01/un-calefactor-provoca-un-incendi-a-espronceda/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/01/veure-la-cascada-per-primer-cop/;2;2;2;0;0;0;1
https://www.diaridesabadell.com/2021/04/02/hidalgo-compleix-els-dos-anys-a-la-banqueta-amb-la-permanencia-gravada-a-foc-al-cap/;13;13;13;2;2;2;1
https://www.diaridesabadell.com/2021/04/02/hidalgo-compleix-els-dos-anys-a-la-banqueta-amb-la-permanencia-gravada-a-foc-al-cap/#Sabadell;31;31;31;2;2;2;1
https://www.diaridesabadell.com/2021/04/02/mossos-campanya-autisme-sabadell/;9;5;4;0;0;0;2
https://www.diaridesabadell.com/2021/04/02/obituari-de-sabadell-del-3-dabril-de-2021/;0;0;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/02/pic-dingressos-per-covid-al-tauli-coincidint-amb-setmana-santa/;5;3;0;4;3;0;3
https://www.diaridesabadell.com/2021/04/02/sabadell-entra-amb-forca-a-la-cursa-de-lenergia-sostenible/;19;19;0;5;5;0;2
https://www.diaridesabadell.com/2021/04/02/sorteig-preinscripcio-centre-sabadell/;5;4;1;5;5;0;2
https://www.diaridesabadell.com/2021/04/02/video-aficionats-arlequinats-mostren-el-seu-suport-a-lequip-durant-lentrenament/;9;9;9;1;1;1;1
https://www.diaridesabadell.com/2021/04/03/cara-i-creu-dels-equips-sabadellencs-de-la-segona-b-de-futbol-sala/#Sabadell;9;9;9;1;1;1;1
https://www.diaridesabadell.com/2021/04/03/diumenge-amb-cel-mig-ennuvolat-i-temperatures-mes-baixes/;4;3;1;1;1;0;2
https://www.diaridesabadell.com/2021/04/03/edgar-gual-linquietud-per-mantenir-60-anys-doci-a-sabadell/;3;3;0;1;1;0;3
https://www.diaridesabadell.com/2021/04/03/el-sabadell-amb-el-repte-de-donar-un-cop-defecte-a-butarque/;3;3;0;1;1;0;2
https://www.diaridesabadell.com/2021/04/03/el-sabadell-amb-el-repte-de-donar-un-cop-defecte-a-butarque/#Sabadell;4;1;0;0;0;0;8
https://www.diaridesabadell.com/2021/04/03/el-sabadell-amb-el-repte-de-donar-un-cop-defecte-a-butarque/#sabadell;29;27;0;0;0;0;5
https://www.diaridesabadell.com/2021/04/03/els-sifons-tornen-a-esquitxar-laperitiu/;4;3;0;1;1;0;3
https://www.diaridesabadell.com/2021/04/03/fons-europeus-a-sabadell-tocarien-6405-milions/;6;3;0;1;1;0;4
https://www.diaridesabadell.com/2021/04/03/la-cantant-sabadellenca-mar-fayos-guanya-un-premi-internacional-dactivisme-social/;3;1;1;2;2;0;3
https://www.diaridesabadell.com/2021/04/03/la-crida-vol-importar-el-model-de-dentista-public-que-ja-saplica-a-barcelona/;1;1;1;1;1;1;1
https://www.diaridesabadell.com/2021/04/03/la-ues-obligada-a-reinventar-se-per-sobreviure/;3;2;0;1;1;0;3
https://www.diaridesabadell.com/2021/04/03/lescola-joan-maragall-celebra-50-anys-amb-activitats-protagonitzades-per-esportistes-i-artistes/;1;1;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/03/limpacte-de-la-febre-groga-de-1870/;4;2;0;3;1;0;4
https://www.diaridesabadell.com/2021/04/03/obituari-del-4-dabril-de-2021/;0;0;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/03/un-home-sense-llar-mor-al-barri-despronceda/;3;2;0;7;6;0;4
https://www.diaridesabadell.com/2021/04/03/zoom-la-liturgia-cristiana-diferent-pero-amb-la-mateixa-fe/;2;2;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/04/152-anys-de-la-mort-de-pere-turull-el-cacic-de-sabadell/;2;2;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/04/dilluns-assolellat-i-amb-temperatures-molt-agradables/;4;3;1;1;1;0;2
https://www.diaridesabadell.com/2021/04/04/el-sabadell-cau-a-leganes-despres-doferir-dues-cares-2-1/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/04/04/el-sabadell-cau-a-leganes-despres-doferir-dues-cares-2-1/#sabadell;5;5;5;0;0;0;1
https://www.diaridesabadell.com/2021/04/04/el-teu-defensor-el-pal-esta-en-mal-estat-i-es-perillos/;0;0;0;1;1;0;4
https://www.diaridesabadell.com/2021/04/04/erc-critica-que-el-govern-no-posi-mes-recursos-per-a-latencio-domiciliaria/;12;12;12;9;9;9;1
https://www.diaridesabadell.com/2021/04/04/erem-ciutat-dimpremtes/;9;6;3;4;2;2;2
https://www.diaridesabadell.com/2021/04/04/exits-de-lescola-descacs-coral-colon-al-campionat-de-catalunya-per-edats/#Sabadell;5;5;5;0;0;0;1
https://www.diaridesabadell.com/2021/04/04/hidalgo-ara-potser-es-mes-important-la-passio-i-el-sentiment-que-el-futbol/#sabadell;9;9;9;2;2;2;1
https://www.diaridesabadell.com/2021/04/04/la-covid-sacseja-les-arques-de-lajuntament/;2;2;0;1;1;0;4
https://www.diaridesabadell.com/2021/04/04/obituari-del-5-dabril-de-2021/;0;0;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/04/paz-torras-obrira-les-seves-primeres-botigues/;9;6;1;3;3;0;3
https://www.diaridesabadell.com/2021/04/04/per-que-tanta-gent-vol-viure-a-sabadell/;4;2;0;1;1;0;4
https://www.diaridesabadell.com/2021/04/04/salut-confirma-que-la-vacunacio-per-a-la-poblacio-dentre-70-i-79-anys-comencara-a-partir-del-12-dabril/;3;3;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/05/ara-van-mes-buscats-hi-ha-preus-abusius/;3;2;1;0;0;0;2
https://www.diaridesabadell.com/2021/04/05/arrenca-el-judici-per-la-violacio-a-una-nau-de-can-feu/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/04/05/el-deute-amb-endesa-supera-el-milio-deuros-a-sabadell/;1;1;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/05/el-doble-de-majors-de-80-anys/;2;2;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/05/la-impremta-sallent-eina-de-pais/;4;4;4;0;0;0;1
https://www.diaridesabadell.com/2021/04/05/mor-jose-luis-landry-concertista-de-castanyoles-sabadellenc/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/05/part-dels-horts-vora-can-puiggener-es-queden-sense-aigua/;1;1;0;2;2;0;2
https://www.diaridesabadell.com/2021/04/05/robotics-ha-llancat-un-fons-dajudes-economiques-al-qual-shan-acollit-mes-de-300-empreses/;6;5;1;1;1;0;2
https://www.diaridesabadell.com/2021/04/05/treballadores-del-sad-exigeixen-mes-recursos/;0;0;0;3;2;1;2
https://www.diaridesabadell.com/2021/04/06/ca-lestruch-acull-dijous-un-passi-de-curtmetratges-del-festival-mecal/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/06/ciutadans-impulsa-una-mocio-de-suport-laboral-i-en-habitatge-als-joves-de-sabadell/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/04/06/dinamitzacio-mercats-sabadell/;8;8;8;5;5;5;1
https://www.diaridesabadell.com/2021/04/06/el-jutge-revoca-el-tercer-grau-de-carme-forcadell/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/06/el-salari-dels-treballadors-del-sad-augmentara-un-14/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/04/06/el-teatre-del-sol-aixeca-el-telo-i-insufla-aire-a-la-cartellera-local/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/06/judit-neddermann-i-adria-punti-concerts-intims-de-primavera/;2;2;2;0;0;0;1
https://www.diaridesabadell.com/2021/04/06/latur-a-sabadell-baixa-per-primer-cop-des-del-novembre-137-persones-al-marc/;5;5;5;3;3;3;1
https://www.diaridesabadell.com/2021/04/06/mor-arcadi-oliveres-professor-sabadell/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/04/06/sabadell-installara-a-campoamor-un-element-commemoratiu-a-diego-granero/;4;2;0;1;1;0;3
https://www.diaridesabadell.com/2021/04/06/sabadell-oferira-un-dentista-municipal-per-a-persones-vulnerables/;12;7;5;4;2;2;2
https://www.diaridesabadell.com/2021/04/06/una-vaga-indefinida-a-correus-deixa-sense-servei-postal-a-la-zona-nord/;5;5;5;1;1;1;1
https://www.diaridesabadell.com/2021/04/06/violacio-sabadell-barcelona-judici/;5;4;0;10;9;0;3
https://www.diaridesabadell.com/2021/04/06/visita-a-la-llar-del-llibre-dalbert-om-i-adria-guacil/;2;2;2;1;1;1;1
https://www.diaridesabadell.com/2021/04/07/aixequen-57-nous-habitatges-a-la-ronda-de-ponent/;6;4;0;2;1;0;4
https://www.diaridesabadell.com/2021/04/07/ametller-origen-generara-divuit-nous-llocs-de-treball/;19;12;1;4;3;0;5
https://www.diaridesabadell.com/2021/04/07/assumeixo-el-meu-rol-pero-li-vull-posar-dificil-al-mister/;2;2;2;0;0;0;1
https://www.diaridesabadell.com/2021/04/07/cas-manada-sabadell-fiscalia/;1;1;1;2;2;2;1
https://www.diaridesabadell.com/2021/04/07/com-repensar-els-merinals/;1;1;0;1;1;0;4
https://www.diaridesabadell.com/2021/04/07/confinament-comarcal-9-abril-sabadell/;6;4;0;1;1;0;3
https://www.diaridesabadell.com/2021/04/07/enquesta-comportament-covid-sant-quirze/;0;0;0;1;1;1;1
https://www.diaridesabadell.com/2021/04/07/fotos-la-colza-pren-el-rodal/;16;16;16;2;2;2;1
https://www.diaridesabadell.com/2021/04/07/he-estat-a-tot-arreu-xibeca/;8;6;0;2;2;0;4
https://www.diaridesabadell.com/2021/04/07/intervenen-en-un-bar-del-centre-per-obrir-fora-de-lhorari-permes-per-la-covid/;1;1;0;1;1;0;3
https://www.diaridesabadell.com/2021/04/07/juanka-gonzalez-les-xarxes-son-clau-pels-podcasts-com-el-anden/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/07/la-ministra-digualtat-reclama-evitar-la-revictimitzacio-de-la-noia-que-va-patir-la-violacio-multiple-a-sabadell/;1;1;1;2;2;2;1
https://www.diaridesabadell.com/2021/04/07/obituari-de-sabadell-del-8-dabril-de-2021/;0;0;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/07/robatoris-instituts-castellar/;2;1;0;2;1;0;3
https://www.diaridesabadell.com/2021/04/07/sactiven-dues-cameres-de-videovigilancia-al-sud-de-la-ciutat/;1;1;0;2;2;0;3
https://www.diaridesabadell.com/2021/04/07/violacio-consentida-sabadell-manada/;10;5;0;2;1;0;12
https://www.diaridesabadell.com/2021/04/08/alba-alfageme-psicologa-especialitzada-en-violencia-sexual-molts-operadors-juridics-no-tenen-perspectiva-de-genere/;1;1;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/08/alcalde-terrassa-sabadell/;54;40;14;16;11;5;2
https://www.diaridesabadell.com/2021/04/08/aterra-a-sabadell-el-circ-raluy-la-vacuna-contra-el-pessimisme/;2;1;1;0;0;0;2
https://www.diaridesabadell.com/2021/04/08/cel-tapat-i-pluges-aquest-divendres/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/08/diari-sabadell-canal-noticies-whatsapp/;6;5;1;2;2;0;2
https://www.diaridesabadell.com/2021/04/08/el-cromatisme-de-les-cases-angleses/;4;4;4;1;1;1;1
https://www.diaridesabadell.com/2021/04/08/estem-tan-acostumats-que-ens-manis-que-no-valorem-si-hem-de-seguir-una-ordre-o-no/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/08/guanya-un-xec-regal-de-300e-en-tractaments-facials-estetics/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/08/la-collaboracio-publico-privada-clau-per-fer-realitat-els-fons-europeus-de-recuperacio-de-la-covid-19/;1;1;1;0;0;0;1
https://www.diaridesabadell.com/2021/04/08/les-reines-volen-la-dissetena-copa/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/08/les-zbe/;1;1;1;1;1;1;1
https://www.diaridesabadell.com/2021/04/08/mor-als-81-anys-leconomista-sabadellenc-i-expresident-de-caritas-esteve-renom/;8;8;8;4;4;4;1
https://www.diaridesabadell.com/2021/04/08/nadal-abril-raco-campanar-sabadell/;0;0;0;0;0;0;2
https://www.diaridesabadell.com/2021/04/08/obituari-de-sabadell-del-9-dabril-de-2021/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/08/restriccions-abril-covid/;0;0;0;0;0;0;3
https://www.diaridesabadell.com/2021/04/08/sabadell-celebra-el-dia-del-poble-gitano-som-referents-a-catalunya/;2;2;2;0;0;0;1
https://www.diaridesabadell.com/2021/04/08/sergio-dalma-repren-la-gira-que-arribara-a-la-farandula-a-la-tardor/;8;8;0;1;1;0;2
https://www.diaridesabadell.com/2021/04/08/songi-kune-modernitza-la-llegenda-de-sant-jordi/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/09/cara-a-cara-estil-propi-perruqueria-sabadell/;0;0;0;0;0;0;1
https://www.diaridesabadell.com/2021/04/09/la-policia-municipal-busca-el-conductor-fugit-que-va-atropellar-un-menor/;8;4;0;10;5;0;3
https://www.diaridesabadell.com/2021/04/09/reines-dissetena-copa-astralpool-club-natacio-sabadell/;3;3;3;0;0;0;1
https://www.diaridesabadell.com/2021/04/09/sabadell-vol-570-milions-deuros-per-fer-19-projectes-amb-els-fons-europeus-next-generation/;17;11;1;7;5;0;3
https://www.diaridesabadell.com/2021/04/09/salut-cap-poblenou-sabadell/;38;31;2;18;17;0;3
https://www.diaridesabadell.com/2021/04/09/un-autobus-circulara-per-sabadell-reclamant-que-el-nou-govern-declari-la-independencia/;6;6;6;2;2;2;1
